AAA,-17.353,-145.510,"Anaa"
AAB,-26.696,141.049,"Arrabury"
AAC,31.079,33.837,"El Arish"
AAD,6.096,46.637,"Adado"
AAE,36.827,7.813,"Annaba Rabah Bitat"
AAF,29.728,-85.027,"Apalachicola Regional"
AAG,-24.104,-49.789,"Avelino Vieira"
AAH,50.823,6.186,"Aachen-Merzbruck"
AAI,-13.025,-46.884,"Arraias"
AAJ,3.899,-55.578,"Cayana"
AAK,0.185,173.637,"Aranuka"
AAL,57.093,9.849,"Aalborg"
AAM,-24.818,31.545,"Malamala"
AAN,24.262,55.609,"Al Ain"
AAO,9.430,-64.471,"Anaco"
AAP,-0.374,117.250,"Aji Tumenggung Pranoto"
AAQ,45.002,37.347,"Anapa Vityazevo"
AAR,56.303,10.618,"Aarhus"
AAS,-3.882,139.311,"Apalapsili"
AAT,47.750,88.086,"Altay Xuedu"
AAU,-13.505,-172.628,"Asau"
AAV,6.368,124.752,"Allah Valley"
AAX,-19.563,-46.960,"Romeu Zema"
AAY,16.193,52.174,"Al Ghaydah"
AAZ,14.866,-91.502,"Quezaltenango"
ABA,53.740,91.385,"Abakan"
ABB,6.204,6.665,"Asaba"
ABC,38.949,-1.864,"Albacete/Los Llanos"
ABD,30.368,48.230,"Abadan"
ABE,40.652,-75.443,"Lehigh Valley"
ABF,1.799,173.041,"Abaiang"
ABG,-17.609,143.184,"Abingdon Downs"
ABI,32.411,-99.682,"Abilene Regional"
ABJ,5.261,-3.926,"Felix-Houphouet-Boigny"
ABK,6.733,44.241,"Kebri Dahar"
ABL,67.107,-157.854,"Ambler"
ABM,-10.946,142.455,"Northern Peninsula"
ABO,5.462,-3.235,"Aboisso"
ABP,-6.065,141.095,"Atkamba"
ABQ,35.040,-106.609,"Albuquerque Sunport"
ABR,45.449,-98.422,"Aberdeen Regional"
ABS,22.368,31.610,"Abu Simbel"
ABT,20.299,41.636,"King Saud Bin Abdulaziz"
ABU,-9.075,124.903,"AA Bere Tallo/Haliwen"
ABV,9.007,7.263,"Nnamdi Azikiwe"
ABX,-36.067,146.959,"Albury"
ABY,31.533,-84.196,"Southwest Georgia"
ABZ,57.202,-2.198,"Aberdeen Dyce"
ACA,16.762,-99.755,"Juan N. Alvarez"
ACB,44.989,-85.198,"Antrim County"
ACC,5.605,-0.167,"Kotoka"
ACD,8.498,-77.274,"Alcides Fernandez"
ACE,28.945,-13.605,"Cesar Manrique-Lanzarote"
ACF,40.464,81.247,"Aral Tarim"
ACH,47.485,9.561,"St Gallen Altenrhein"
ACI,49.706,-2.215,"Alderney"
ACJ,8.302,80.428,"Anuradhapura"
ACK,41.253,-70.060,"Nantucket Memorial"
ACM,-2.145,-71.758,"Arica"
ACN,29.334,-101.101,"Ciudad Acuna New"
ACP,37.348,46.128,"Sahand"
ACR,-0.601,-72.398,"Araracuara"
ACS,56.269,90.575,"Achinsk"
ACT,31.611,-97.230,"Waco Regional"
ACV,40.978,-124.109,"California Redwood-Humboldt"
ACX,25.083,104.961,"Xingyi Wanfenglin"
ACY,39.458,-74.577,"Atlantic City"
ACZ,31.098,61.544,"Zabol"
ADA,36.982,35.280,"Adana Sakirpasa"
ADB,38.292,27.157,"Adnan Menderes"
ADC,-7.137,145.745,"Andakombe"
ADD,8.978,38.799,"Addis Ababa Bole"
ADE,12.829,45.029,"Aden"
ADF,37.731,38.469,"Adiyaman"
ADG,41.866,-84.078,"Lenawee County"
